sku_id,title,hsn,gst_states,price_band_min,price_band_max,lead_time_days,moq,tags
SKU100,"Malaria Rapid Test Kit - HRP2 & Pan (25 tests/pack)",3002,"All-India",10,20,7,100,"malaria,rapid-test"
SKU101,"Malaria Rapid Test Kit - Single Pack (10 tests)",3002,"All-India",11,21,7,100,"malaria,rapid-test"
SKU102,"Malaria Rapid Test Kit - High Sensitivity (50 tests)",3002,"All-India",12,22,7,100,"malaria,rapid-test"
SKU103,"Dengue Rapid Test Kit",3002,"All-India",13,23,7,100,"diagnostic"
SKU104,"COVID-19 Antigen Rapid Test Kit",3002,"All-India",14,24,7,100,"diagnostic"
SKU105,"Malaria Rapid Test Kit - Bulk Pack (100 tests)",3002,"All-India",15,25,7,100,"malaria,rapid-test"
SKU106,"Rapid HIV Test Kit",3002,"All-India",16,26,7,100,"diagnostic"
SKU107,"General Diagnostic Test Strips",3002,"All-India",17,27,7,100,"diagnostic"
SKU108,"Malaria Rapid Test Kit - Pan Plasmodia (20 tests)",3002,"All-India",18,28,7,100,"malaria,rapid-test"
SKU109,"Malaria Rapid Test Cassette - Whole Blood",3002,"All-India",19,29,7,100,"malaria,rapid-test"
SKU110,"Rapid Test Kit - Multiplex",3002,"All-India",20,30,7,100,"diagnostic"
SKU111,"Clinical Lateral Flow Devices - generic",3002,"All-India",21,31,7,100,"diagnostic"
SKU112,"Malaria RDT Combo Kit (HRP2+LDH)",3002,"All-India",22,32,7,100,"malaria,rapid-test"
SKU113,"Malaria Test Kit - WHO prequalified",3002,"All-India",23,33,7,100,"malaria,rapid-test"
SKU114,"Laboratory Consumables - swabs and buffers",3002,"All-India",24,34,7,100,"consumable"
